Medicine_ID,Medicine_Name,Strength,Use_Case,Alternative,Stock,Dosage_Instruction
1,Aspirin,10ml,Bacterial Infection,Augmentin,No,1 capsule every 8 hrs
2,Atorvastatin,10ml,Thyroid Disorder,Propranolol,Yes,1 tablet daily
3,Clopidogrel,10ml,Stomach Ulcer,Amlodipine,Yes,1 tablet at night
4,Insulin,200mg,Diabetes,Levocetirizine,Yes,1 tablet every 6 hrs
5,Metoprolol,200mg,Bacterial Infection,Dolo,Yes,1 tablet at night
6,ORS Solution,150mg,Throat Infection,Famotidine,Yes,1 tablet after meals
7,Omeprazole,600mg,Heart Disease,Propranolol,Yes,1 tablet daily for 3 days
8,Losartan,500mg,"Allergy, Cold",Zincovit,No,1 tablet daily
9,Losartan,400mg,"Fever, Headache",Human Mixtard,Yes,"As directed, sip slowly"
10,Losartan,10ml,Stomach Ulcer,Famotidine,Yes,1 tablet daily
11,Aspirin,200ml,Heart Disease,Dolo,No,1 tablet before meals
12,Aspirin,10mg,Asthma,Human Mixtard,Yes,1 tablet after meals
13,Metformin,10mg,Diabetes,Famotidine,No,"As directed, sip slowly"
14,Atorvastatin,400mg,Heart Disease,Augmentin,Yes,1 tablet daily for 3 days
15,Pantoprazole,50mg,Thyroid Disorder,Zincovit,No,1 tablet at night
16,Salbutamol,200mg,Throat Infection,Clarithromycin,Yes,1 tablet at night
17,Atorvastatin,50mg,Stomach Ulcer,Crocin,Yes,1 tablet every 6 hrs
18,Amoxicillin,200mg,Hypertension,Propranolol,Yes,1 tablet after meals
19,Ranitidine,20ml,Bacterial Infection,Clarithromycin,No,As prescribed by doctor
20,Metoprolol,200mg,"Pain, Inflammation",Dolo,Yes,"As directed, sip slowly"
21,Cetirizine,200mg,Acidity,Propranolol,Yes,1 tablet daily
22,Omeprazole,500mg,"Fever, Headache",Electral Powder,No,"As directed, sip slowly"
23,Ciprofloxacin,150mg,Hypertension,Levocetirizine,Yes,As prescribed by doctor
24,Paracetamol,600mg,"Allergy, Cold",Levocetirizine,Yes,1 tablet daily for 3 days
25,Pantoprazole,400mg,Hypertension,Erythromycin,No,As prescribed by doctor
26,Ciprofloxacin,250mg,Cholesterol Control,Glimepiride,Yes,1 tablet daily for 3 days
27,Salbutamol,200ml,Diabetes,Glimepiride,No,1 tablet before meals
28,Insulin,250mg,Hypertension,Levocetirizine,No,As prescribed by doctor
29,Pantoprazole,10mg,Heart Disease,Propranolol,Yes,1 tablet every 6 hrs
30,Levothyroxine,10ml,Heart Disease,Propranolol,No,1 tablet daily
31,Clopidogrel,100mg,Hypertension,Zincovit,Yes,1 tablet daily
32,Paracetamol,600mg,Hypertension,Amlodipine,Yes,1 tablet after meals
